Пол,Возраст,Путешествует с детьми,Расстояние,Включён завтрак,Наличие wifi,Оценка удобства добирания до места,Оценка интерсности досуга,Оценка качества питания,Оценка качества wifi,Оценка комфортности палатки,Общая оценка качества предоставленной услуги
жен,"48,5",нет,2152,0,1,5,хорошо,отсутствует,отсутствует,плохо,плохо
жен,"80,64",нет,1423,0,1,1,хорошо,хорошо,отсутствует,хорошо,хорошо
жен,"40,48",да,2742,1,0,1,плохо,плохо,плохо,хорошо,отсутствует
жен,"44,08",нет,446,1,1,4,отсутствует,хорошо,хорошо,хорошо,хорошо
муж,"35,8",да,1441,1,0,1,отсутствует,плохо,хорошо,хорошо,хорошо
жен,"87,53",нет,237,1,0,1,хорошо,хорошо,плохо,отсутствует,плохо
муж,"55,24",нет,4148,1,0,1,отсутствует,хорошо,отсутствует,отсутствует,плохо
муж,"39,4",нет,3756,0,1,2,хорошо,отсутствует,хорошо,отсутствует,плохо
жен,"87,21",нет,4825,1,0,5,плохо,хорошо,хорошо,отсутствует,плохо
жен,"27,67",да,2533,1,0,3,хорошо,хорошо,хорошо,хорошо,хорошо
муж,"61,07",нет,983,0,0,3,плохо,плохо,отсутствует,плохо,плохо
жен,"45,9",нет,4817,1,0,1,хорошо,отсутствует,отсутствует,отсутствует,хорошо
жен,"37,73",да,4257,0,1,1,отсутствует,хорошо,хорошо,плохо,отсутствует
жен,"65,85",да,4274,0,0,2,отсутствует,хорошо,плохо,хорошо,отсутствует
жен,"50,61",нет,2698,1,1,1,отсутствует,хорошо,плохо,плохо,плохо
жен,"50,97",да,1041,0,1,4,хорошо,плохо,отсутствует,плохо,хорошо
муж,"18,31",нет,2149,1,0,5,отсутствует,отсутствует,хорошо,хорошо,плохо
жен,"67,36",нет,2292,0,0,3,хорошо,отсутствует,хорошо,плохо,отсутствует
муж,"46,44",да,3468,0,1,3,плохо,хорошо,отсутствует,хорошо,плохо
муж,"34,1",да,3796,1,1,4,хорошо,плохо,хорошо,хорошо,плохо
жен,"36,13",нет,3459,1,0,2,отсутствует,хорошо,отсутствует,отсутствует,хорошо
жен,"54,42",да,1867,0,0,4,плохо,плохо,отсутствует,хорошо,отсутствует
жен,"79,67",да,362,1,1,3,плохо,плохо,отсутствует,хорошо,плохо
муж,"76,99",да,811,1,0,2,хорошо,отсутствует,отсутствует,отсутствует,отсутствует
жен,"62,57",нет,2488,1,0,3,плохо,хорошо,отсутствует,хорошо,хорошо
муж,"67,31",да,2237,1,1,1,отсутствует,отсутствует,хорошо,хорошо,отсутствует
муж,"18,36",да,370,0,0,4,плохо,отсутствует,отсутствует,хорошо,хорошо
муж,"52,46",нет,2098,0,1,5,хорошо,хорошо,плохо,хорошо,отсутствует
жен,"50,07",нет,2338,0,1,1,хорошо,плохо,хорошо,хорошо,хорошо
муж,"60,64",нет,409,1,0,1,хорошо,хорошо,отсутствует,хорошо,отсутствует
жен,"87,42",нет,3623,1,0,2,отсутствует,хорошо,хорошо,хорошо,плохо
жен,"63,23",да,4247,1,0,2,плохо,хорошо,плохо,хорошо,хорошо
жен,"60,92",нет,4401,0,1,2,хорошо,отсутствует,плохо,отсутствует,хорошо
муж,"74,27",да,4464,0,0,1,хорошо,отсутствует,плохо,хорошо,хорошо
жен,"87,99",да,3534,1,0,2,отсутствует,отсутствует,плохо,плохо,хорошо
жен,"30,2",да,2532,0,0,4,плохо,плохо,плохо,отсутствует,отсутствует
жен,"26,47",нет,1840,0,0,5,хорошо,плохо,отсутствует,плохо,отсутствует
жен,"61,75",да,2900,1,0,1,хорошо,отсутствует,хорошо,отсутствует,отсутствует
муж,"64,85",нет,1165,0,0,2,хорошо,плохо,плохо,хорошо,плохо
муж,"84,31",да,2993,0,0,2,плохо,отсутствует,плохо,хорошо,плохо
жен,"27,15",нет,2648,1,1,1,плохо,хорошо,хорошо,хорошо,отсутствует
муж,"52,8",да,1244,1,1,2,плохо,хорошо,плохо,отсутствует,хорошо
муж,"34,21",нет,1641,1,0,2,отсутствует,хорошо,плохо,хорошо,плохо
жен,"82,06",да,4242,0,0,5,плохо,отсутствует,хорошо,отсутствует,хорошо
жен,"32,71",да,3323,0,0,4,плохо,плохо,отсутствует,хорошо,отсутствует
жен,"26,05",нет,835,1,1,5,хорошо,отсутствует,плохо,хорошо,хорошо
жен,"38,96",да,1992,0,0,1,хорошо,отсутствует,хорошо,плохо,плохо
муж,"22,24",нет,949,0,0,2,плохо,отсутствует,отсутствует,плохо,отсутствует
жен,"41,97",нет,2560,0,0,5,хорошо,плохо,плохо,плохо,отсутствует
муж,"27,94",нет,3086,0,1,4,плохо,хорошо,плохо,хорошо,хорошо
жен,"34,72",нет,837,1,0,5,плохо,плохо,хорошо,отсутствует,плохо
жен,"50,22",нет,185,0,0,5,отсутствует,хорошо,хорошо,плохо,хорошо
жен,"50,96",нет,1783,1,0,3,хорошо,хорошо,отсутствует,плохо,плохо
муж,"72,18",нет,1440,1,0,2,отсутствует,хорошо,плохо,плохо,плохо
жен,"57,33",да,793,1,1,5,плохо,отсутствует,плохо,хорошо,хорошо
жен,"35,21",нет,2859,0,0,5,отсутствует,плохо,отсутствует,отсутствует,плохо
муж,"53,3",нет,4850,1,0,1,отсутствует,плохо,хорошо,хорошо,хорошо
жен,"59,77",да,1574,1,0,1,хорошо,отсутствует,отсутствует,отсутствует,плохо
муж,"24,13",да,1313,1,0,1,хорошо,плохо,плохо,плохо,плохо
муж,"76,76",нет,2612,1,0,2,отсутствует,плохо,плохо,отсутствует,плохо
муж,"47,46",да,1529,1,1,2,хорошо,отсутствует,отсутствует,хорошо,отсутствует
жен,"72,82",да,3317,1,0,5,плохо,отсутствует,хорошо,отсутствует,отсутствует
